Average Trip Duration (minutes),Amount of Users,Mode of User type
9.870967741935484,62,1
7.852459016393443,61,1
9.486486486486486,37,1
7.9,20,1
9.0,10,1
6.5,2,1
11.666666666666666,3,1
6.0,1,1
17.0,2,1
8.8,20,1
10.170212765957446,47,1
