Average Trip Duration,Amount of Rides,Subscribers,Non Subscribers,Subscriber %,Non Subscriber %
18.0,2,1,1,50.0,50.0
13.5,2,0,2,0.0,100.0
26.0,1,0,1,0.0,100.0
8.0,4,2,2,50.0,50.0
4.0,1,1,0,100.0,0.0
5.666666666666667,6,6,0,100.0,0.0
18.923076923076923,13,11,2,85.0,15.0
8.88888888888889,9,9,0,100.0,0.0
14.555555555555555,9,9,0,100.0,0.0
15.6,15,10,5,67.0,33.0
25.2,20,6,14,30.0,70.0
14.31578947368421,19,13,6,68.0,32.0
27.29032258064516,31,16,15,52.0,48.0
14.764705882352942,17,13,4,76.0,24.0
15.6,10,10,0,100.0,0.0
5.0,9,9,0,100.0,0.0
8.2,5,4,1,80.0,20.0
14.714285714285714,7,7,0,100.0,0.0
7.666666666666667,3,3,0,100.0,0.0
11.2,5,5,0,100.0,0.0
17.714285714285715,7,6,1,86.0,14.0
10.0,1,1,0,100.0,0.0
50.0,1,1,0,100.0,0.0
14.0,1,1,0,100.0,0.0
6.75,4,4,0,100.0,0.0
7.8,5,3,2,60.0,40.0
10.958333333333334,24,22,2,92.0,8.0
12.24390243902439,41,38,3,93.0,7.0
13.04,25,23,2,92.0,8.0
19.40909090909091,22,18,4,82.0,18.0
17.25,28,23,5,82.0,18.0
21.4,25,21,4,84.0,16.0
25.041666666666668,24,17,7,71.0,29.0
43.69565217391305,23,13,10,57.0,43.0
16.233333333333334,30,18,12,60.0,40.0
9.333333333333334,24,17,7,71.0,29.0
37.88095238095238,42,37,5,88.0,12.0
8.586206896551724,29,26,3,90.0,10.0
8.916666666666666,12,10,2,83.0,17.0
5.636363636363637,11,11,0,100.0,0.0
20.90909090909091,11,10,1,91.0,9.0
4.714285714285714,7,6,1,86.0,14.0
10.9,10,7,3,70.0,30.0
47.0,2,2,0,100.0,0.0
8.0,1,1,0,100.0,0.0
30.0,1,1,0,100.0,0.0
7.0,1,1,0,100.0,0.0
10.444444444444445,9,9,0,100.0,0.0
9.7,20,18,2,90.0,10.0
11.71875,32,30,2,94.0,6.0
13.777777777777779,18,18,0,100.0,0.0
27.555555555555557,9,7,2,78.0,22.0
21.272727272727273,11,11,0,100.0,0.0
9.571428571428571,14,10,4,71.0,29.0
87.33333333333333,15,12,3,80.0,20.0
12.714285714285714,7,5,2,71.0,29.0
14.708333333333334,24,22,2,92.0,8.0
17.870967741935484,31,27,4,87.0,13.0
9.65,40,38,2,95.0,5.0
16.53125,32,20,12,62.0,38.0
