dt_iso,city_id,pressure,humidity,wind_speed,avg_temp_f,weather_type,Average Trip Duration,Amount of Rides,Subscribers,Non Subscribers,Subscriber %,Non Subscriber %
2018-04-16,4930956,1020.375,94.29166666666667,6.416666666666667,39.304250000000046,7.0,40.74303268544387,4211.0,2848.0,1363.0,68.0,32.0
2018-04-17,4930956,999.3333333333334,77.25,5.083333333333333,46.526000000000046,6.0,18.25906195969055,4023.0,2801.0,1222.0,70.0,30.0
2018-04-18,4930956,1003.3333333333334,52.166666666666664,4.166666666666667,42.879500000000036,2.0,13.474032757323625,4979.0,4631.0,348.0,93.0,7.0
2018-04-19,4930956,1006.3333333333334,71.95833333333333,2.2916666666666665,40.94300000000006,7.0,14.925322254165293,5393.0,4931.0,462.0,91.0,9.0
2018-04-20,4930956,1014.3333333333334,58.583333333333336,6.25,42.674750000000046,2.0,116.04030499316349,1759.0,1684.0,75.0,96.0,4.0
2018-04-21,4930956,1024.3333333333333,47.125,4.375,46.05398750000004,1.0,14.548750098997232,4505.0,4170.0,335.0,93.0,7.0
2018-04-22,4930956,1026.7083333333333,42.625,3.0,48.148250000000054,1.0,22.509847454146453,3382.0,3103.0,279.0,92.0,8.0
2018-04-23,4930956,1031.25,48.166666666666664,2.5,48.943550000000045,1.0,33.003679451836085,5700.0,3556.0,2144.0,62.0,38.0
2018-04-24,4930956,1028.5416666666667,43.291666666666664,3.5833333333333335,52.958000000000055,1.0,108.28254703609389,2380.0,1942.0,438.0,82.0,18.0
2018-04-25,4930956,1018.75,80.375,3.7083333333333335,52.745000000000054,7.0,12.648877292498073,3137.0,2993.0,144.0,95.0,5.0
2018-04-26,4930956,1003.2083333333334,82.83333333333333,3.625,58.08275000000004,7.0,18.41991229033159,5808.0,5146.0,662.0,89.0,11.0
2018-04-27,4930956,1011.0833333333334,74.875,2.25,52.72700000000004,1.0,29.18762841401333,6907.0,5824.0,1083.0,84.0,16.0
2018-04-28,4930956,1008.3333333333334,76.875,2.125,56.444750000000035,6.0,16.840537814723458,6031.0,5259.0,772.0,87.0,13.0
2018-04-29,4930956,1010.0416666666666,81.16666666666667,2.4166666666666665,54.053000000000054,7.0,15.737860000402685,5659.0,4706.0,953.0,83.0,17.0
2018-04-30,4930956,1012.7083333333334,75.70833333333333,2.5,44.50550000000004,7.0,26.635584574307344,5660.0,3246.0,2414.0,57.0,43.0
2018-05-01,4930956,1015.4166666666666,79.29166666666667,1.9166666666666667,50.27750000000003,2.0,16.200215542939926,3340.0,2314.0,1026.0,69.0,31.0
2018-05-02,4930956,1016.75,42.375,3.2916666666666665,66.76992500000006,1.0,14.747649574620006,5963.0,5138.0,825.0,86.0,14.0
2018-05-03,4930956,1019.0833333333334,50.625,3.4166666666666665,71.99375000000005,2.0,19.323771099769818,6338.0,5558.0,780.0,88.0,12.0
