dt_iso,city_id,pressure,humidity,wind_speed,avg_temp_f,weather_type,Average Trip Duration,Amount of Rides,Subscribers,Non Subscribers,Subscriber %,Non Subscriber %
2018-01,4975802,1018.7298387096774,67.68279569892472,3.4959677419354853,21.716498538064556,1,18.81662504920489,13036.0,9622.0,3414.0,74.0,12.0
2018-02,4975802,1021.5699404761908,73.61011904761905,3.008928571428572,30.506589285714323,1,21.011963363151988,13620.0,9321.0,4299.0,68.0,27.0
2018-03,4975802,1011.5604838709679,65.13306451612902,4.157258064516129,33.13950142419358,2,24.801372452130565,22163.0,12514.0,9649.0,56.0,24.0
2018-04,4975802,1014.7847222222223,67.35,3.3555555555555547,40.88027875000004,2,24.267570524480995,28948.0,14489.0,14459.0,50.0,57.0
2018-05,4975802,1016.8239247311828,71.68010752688171,2.9072580645161286,57.724915322580685,2,26.202112086719065,77356.0,19594.0,57762.0,25.0,44.0
2018-06,4975802,1013.1666666666666,73.18055555555556,2.7875,63.29944625000006,2,23.606812046810067,49565.0,15035.0,34530.0,30.0,96.0
2018-07,4975802,1018.5833333333334,76.38440860215051,2.3051075268817205,70.97254032258068,1,24.40843201129821,55462.0,15972.0,39490.0,29.0,114.0
2018-08,4975802,1016.1263440860214,81.63575268817203,2.279569892473119,71.1943485887097,1,23.59351622692854,45131.0,14240.0,30891.0,32.0,138.0
2018-09,4975802,1022.3055555555554,82.87916666666668,2.368055555555556,62.40377500000004,2,19.28763622955408,33169.0,12749.0,20420.0,38.0,142.0
2018-10,4975802,1015.9233870967743,79.44489247311827,3.0940860215053765,46.752596774193584,2,21.583331760041133,27183.0,12060.0,15123.0,44.0,121.0
2018-11,4975802,1016.2222222222224,76.16249999999998,3.2736111111111112,34.22203292975004,7,48.78767984515521,19343.0,9147.0,10196.0,47.0,59.0
2018-12,4975802,1016.3611111111112,69.97569444444444,3.069444444444445,27.92942163125004,2,28.332214103722904,11033.0,5187.0,5846.0,47.0,53.0
